티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4380.0,125054.0,537339073.0,0.23,6175370.0,1.15,12168.0,52591216.0,18309.0,78356262.0,-28230.0,-121330686.0,-34.0,-152330.0,-29.0,-127020.0,-1643.0,-7031805.0,0.0,0.0,-26493.0,-113886851.0,-31.0,-132680.0,-991.0,-4241450.0,-1256.0,-5375342.0,0.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,6700.0,21393.0,141871370.0,-4.01,2899000.0,2.04,-1906.0,-12694720.0,1565.0,10257960.0,341.0,2436760.0,353.0,2516320.0,0.0,0.0,-3.0,-20100.0,0.0,0.0,0.0,0.0,-9.0,-59460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,4255.0,278628.0,1175680579.0,-0.93,168763880.0,14.35,-15518.0,-63823115.0,26640.0,110817057.0,-10778.0,-45540282.0,234.0,927510.0,-52.0,-221260.0,-4254.0,-17965105.0,-3523.0,-14846274.0,0.0,0.0,-3183.0,-13435153.0,-170.0,-724600.0,-174.0,-729060.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,132500.0,71448.0,9274131700.0,6.43,3171793900.0,30.71,-5730.0,-738791900.0,9198.0,1188060750.0,-4023.0,-521603750.0,-2466.0,-318765150.0,-63.0,-8201750.0,-1515.0,-196950450.0,0.0,0.0,-145.0,-18698300.0,166.0,21011900.0,522.0,67957500.0,33.0,4377400.0,0.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,17170.0,1268238.0,21564473495.0,1.06,1784830455.0,7.7,-132826.0,-2263684185.0,142440.0,2444995615.0,-10410.0,-195032310.0,69537.0,1176222225.0,-1069.0,-18129285.0,-88395.0,-1505705970.0,0.0,0.0,-18771.0,-318082620.0,-12920.0,-219868860.0,1568.0,26460520.0,-772.0,-12739640.0,0.0,0.0,0.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",36600.0,8892.0,323525550.0,-4.69,37600.0,0.01,4073.0,148214600.0,-84.0,-4003700.0,-4034.0,-145832600.0,-2353.0,-85097700.0,-4.0,-146400.0,0.0,0.0,0.0,0.0,-2077.0,-75235950.0,400.0,14647450.0,45.0,1621700.0,0.0,0.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,25700.0,2681.0,68255050.0,-4.64,537500.0,0.79,-61.0,-1512250.0,-67.0,-1795850.0,115.0,2983600.0,-35.0,-878150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,3861750.0,0.0,0.0,13.0,324500.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,181500.0,225731.0,40601406350.0,-0.82,7364607200.0,13.9,-48282.0,-8676807750.0,-14468.0,-2666861500.0,63837.0,11546600750.0,-4325.0,-803707700.0,2443.0,444479400.0,11422.0,2053365700.0,60.0,10657900.0,53196.0,9655385800.0,1041.0,186423150.0,-1387.0,-256593500.0,300.0,53662000.0,0.0,0.0,0.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",4400.0,609893.0,2657477180.0,-0.79,577341585.0,21.73,18632.0,80855780.0,12816.0,55502549.0,-34669.0,-150538109.0,2789.0,12139265.0,0.0,0.0,-71.0,-309560.0,0.0,0.0,-32215.0,-139868594.0,-5172.0,-22499220.0,390.0,1709295.0,2831.0,12470485.0,0.0,0.0,0.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,163500.0,9581.0,1532330350.0,0.18,112210100.0,7.32,-2633.0,-428242700.0,-1415.0,-228312600.0,4048.0,656555300.0,4049.0,656710200.0,-1.0,-154900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
