티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
095570,AJ네트웍스,유가,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",4660.0,111113.0,520145365.0,0.76,1258460.0,0.24,-8537.0,-40584550.0,5231.0,24949255.0,3506.0,16576295.0,-254.0,-1183085.0,-1407.0,-6540865.0,-860.0,-3996035.0,0.0,0.0,40.0,186540.0,5987.0,28109740.0,-200.0,-941000.0,0.0,0.0,0.0,0.0,0.0
006840,AK홀딩스,유가,기타 금융업,지주사업,8710.0,5634.0,49295190.0,-1.58,2232810.0,4.53,-903.0,-7862640.0,287.0,2499180.0,616.0,5363860.0,332.0,2885080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,2478780.0,0.0,-400.0,0.0,0.0,0.0,0.0,0.0
027410,BGF,유가,기타 금융업,지주회사,3920.0,52227.0,204211735.0,0.64,2657615.0,1.3,-2531.0,-9788225.0,2309.0,8907825.0,212.0,841550.0,-8.0,-56205.0,-1617.0,-6311590.0,-887.0,-3467570.0,2775.0,10876530.0,85.0,333505.0,-136.0,-533120.0,10.0,38850.0,0.0,0.0,0.0,0.0,0.0
282330,BGF리테일,유가,종합 소매업,체인화 편의점,104800.0,35230.0,3689188800.0,-1.04,185157100.0,4.78,9245.0,968300900.0,9642.0,1007325750.0,-18895.0,-1976469250.0,2602.0,272419700.0,-4111.0,-429985700.0,-15012.0,-1570642600.0,0.0,0.0,-1700.0,-177772800.0,-666.0,-69651650.0,8.0,842600.0,0.0,0.0,0.0,0.0,0.0
138930,BNK금융지주,유가,기타 금융업,금융지주회사,15870.0,392664.0,6243509760.0,-1.06,290392810.0,4.35,12965.0,206281770.0,-84610.0,-1346178470.0,71170.0,1132369700.0,105307.0,1675381560.0,-1602.0,-25521840.0,-14832.0,-235830540.0,0.0,0.0,-4035.0,-64222220.0,-13432.0,-213690950.0,385.0,6097800.0,90.0,1429200.0,0.0,0.0,0.0
001460,BYC,유가,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",42100.0,1967.0,83350300.0,0.48,1305100.0,1.57,30.0,1335350.0,-546.0,-23239350.0,606.0,25719200.0,196.0,8305400.0,0.0,0.0,13.0,553100.0,0.0,0.0,5.0,211850.0,392.0,16648850.0,-90.0,-3815200.0,0.0,0.0,0.0,0.0,0.0
001465,BYC우,KOSPI,기타/미분류,기타/미분류,24450.0,824.0,20076850.0,-0.61,2558650.0,12.74,118.0,2877350.0,-144.0,-3509850.0,30.0,732100.0,30.0,732100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-99600.0,0.0,0.0,0.0,0.0,0.0
001040,CJ,유가,기타 금융업,지주회사,172000.0,122220.0,21001321400.0,0.47,1383204300.0,5.66,1454.0,236127950.0,21101.0,3624956300.0,-19870.0,-3401470150.0,12976.0,2234477550.0,-550.0,-94821700.0,-36144.0,-6203932550.0,0.0,0.0,-5652.0,-973199350.0,9615.0,1655743000.0,-2693.0,-461010300.0,8.0,1396200.0,0.0,0.0,0.0
079160,CJ CGV,유가,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",5950.0,344935.0,2040614265.0,-0.83,64206150.0,3.15,19282.0,112476020.0,-72618.0,-429844935.0,53383.0,317730865.0,53263.0,317017500.0,-27.0,-160265.0,0.0,0.0,0.0,0.0,147.0,873630.0,0.0,0.0,0.0,-83130.0,-47.0,-278820.0,0.0,0.0,0.0
00104K,CJ4우(전환),KOSPI,기타/미분류,기타/미분류,152500.0,7853.0,1194044350.0,-0.2,14586000.0,1.22,201.0,28070350.0,322.0,49395500.0,-523.0,-77465850.0,828.0,127262500.0,-206.0,-31212500.0,-764.0,-115790750.0,0.0,0.0,-381.0,-57725100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
